name,method,ingredients,category
Tiramisu,"Beat the mascarpone, icing sugar, vanilla, wine and 75 g coffee in a mixer, using the whisk attachment until completely combined.,Scrape down the sides of the bowl with a spatula and beat again until the mixture thickens.,Add the chilled heavy cream and beat until the mixture takes on the consistency of yogurt.,When ready, transfer to a bowl and set aside until needed.,In a separate ,bowl,, add the 225 g coffee and couverture. Stir until the chocolate melts and becomes incorporated.,Hold a ,ladyfinger,, sugar side down and dip it in to the coffee for just a second. Lay in a 25x32 cm pyrex ,baking dish,.,Repeat the same process until the bottom of the baking dish is covered with ladyfingers. (18 ladyfingers).,Spread half of the cream over them.,Cover with another layer of ladyfingers that have been dipped in to the hot coffee mixture just as before.,Spread the remaining cream over them.,Refrigerate for at least 6 hours, until the dessert sets and chills.,When ready, remove from refrigerator and use a fork to draw lines over the surface of the tiramisu to give it a nice texture.,Sprinkle with cocoa powder and grated couverture.,Cut, in to pieces and serve."," 375 g mascarpone cheese, at room temperature , 120 g icing sugar , 1 tablespoon(s) ,vanilla extract, , 110 g Mavrodafni (sweet fortified wine) , 300 g coffee, espresso drink , 450 g heavy cream 35%, ice-cold , 50 g chocolate couverture, crumbled , 36  ,ladyfingers, , 1-2 tablespoon(s) cocoa powder, for dusting , 30 g chocolate couverture, shavings  ",Sweets / Desserts
Apricot chutney,"Remove the apricot pits and cut them into 2 cm pieces.,Cut the onion, the chili pepper into thin slices and grate the ginger.,Heat the olive oil in a ,pot, over medium heat.,Saute the onion, the chili pepper, and the grated ginger for 1 minute.,Deglaze the pot with the vinegar and add the apricots, cardamom, salt, cinnamon, sugar, and apple juice.,Simmer for 30 minutes until the apricots soften.,Remove the pot from the heat.,Serve the chutney in a bowl and accompany it with gruyere cheese, cherry tomatoes, breadsticks, cherries, anthotyro, grapes, and walnuts."," 500 g apricots , 1 onion, dry  , 1 chili pepper , 10 g ginger, fresh  , 2 tablespoon(s) olive oil , 50 g vinegar, white  , 3 pods cardamom , 1/4 teaspoon(s) salt , 1/2 teaspoon(s) cinnamon , 100 g brown sugar , 50 g apple juice , 150 g gruyere cheese , 10 cherry tomatoes , 100 g ,multi-grain breadsticks, , 10 cherries , 100 g anthotyro cheese , 100 g grapes , 100 g walnuts ",Sauces & Marinades
Greek almond snowballs - Kourabiedes,"Preheat the oven to 180,ο, C (350,ο, F) set to fan.,In a mixer’s bowl add the butter, the icing sugar, and beat with the paddle attachment at high speed, for 10-15 minutes, until the mixture is fluffy and white.,Add the vanilla powder, the rosewater, the bitter almond liqueur, and keep beating. Remove the bowl from the mixer.,Break down the almond slivers with your hands, in order to crumble them, and add them to a bowl. Add the flour, the salt, and put them in the mixer’s bowl.,Mix the mixture with a serving spoon, very softly so that it does not lose its volume. As soon as the ingredients are homogenized, mix with your hands.,Shape balls, 30 g each, and transfer to a ,baking pan, lined with parchment paper. Lightly press the center with your finger and bake for 20-25 minutes. Follow the same process for the whole mixture.,Put a layer of the almond snowballs on a ,serving platter,, spray with rosewater, and dust with icing sugar. Follow the same process for all of the snowballs and serve."," 500 g butter, at room temperature , 220 g icing sugar , 1/2 teaspoon(s) vanilla powder , 1 teaspoon(s) rosewater , 30 g bitter almond liqueur, or brandy or rum , 200-280 g almond slivers, or coarsely chopped, unsalted and toasted , 900 g all-purpose flour , 1 pinch salt , 1 tablespoon(s) rosewater , 300 g icing sugar ",Sweets / Desserts
Meatballs with green beans,"Place a ,pot, over high heat and add 3 tablespoons olive oil.,Finely chop the onion and add it to the pot. Season with salt and pepper, and sauté until it is caramelized.,Add the tomato paste and sauté. Add the canned tomatoes, the water, and the green beans. Cover the pot with a lid, lower the heat to medium, and simmer for 20 minutes.,If more water is needed, you can add up to 100 g water.,Place a deep ,frying pan, with the sunflower oil over medium heat.,In a bowl with water, add the bread and allow 2-3 minutes for it to be soaked.,In another bowl add the ground beef, the bread very well drained, the oregano, the onion finely chopped, the eggs, salt, pepper, the mint finely chopped, the olive oil, and knead very well.,Shape the meatballs from the ground beef mixture and add them to a baking pan with the flour.,Add the floured meatballs into the frying pan. Fry in batches for 3-4 minutes.,Transfer the meatballs to the pot with the green beans, cover with the lid, and simmer for 5-10 minutes.,Remove from the heat and add the lemon zest, the lemon juice, and the olive oil.,Serve with bread, feta cheese, olive oil, salt, pepper, and mint."," 1 onion , 6 tablespoon(s) olive oil , salt , pepper , 1 tablespoon(s) tomato paste , 400 g canned tomatoes , 300 g water , 600 g flat green beans , lemon zest, of 1 lemon , 1 tablespoon(s) lemon juice , 120 g bread , 500 g ground beef , 1 tablespoon(s) oregano , 1 onion , 2 eggs, medium , 15 g salt , pepper , 1/4 bunch mint , 2 tablespoon(s) olive oil , 100 g all-purpose flour , 600 ml sunflower oil , bread , 2 tablespoon(s) olive oil , salt , pepper , mint , feta cheese ",Stews
Greek okra stew ,"Cut, the potatoes in small cubes. Coarsely chop all of the onions. Finely chop the garlic and cut the carrot into crescents.,Place a ,pot, over high heat and add the olive oil.,Add all of the vegetables and sauté for 4-5 minutes, until tender.  ,Add the tomato paste and sauté.  Deglaze the pot with wine and allow for it to evaporate.,Add in the chopped tomatoes, stock, water, sugar, salt, pepper, the stems of the herbs, the okra, and then mix.,Cover the pot with a lid, lower the heat to medium, and boil for 30 minutes.,Remove from the heat, add the remaining herbs coarsely chopped, and mix.,Serve with olive oil, olives, oregano, bread, and pepper."," 2 potatoes , 3 spring onions , 1 onion, dry  , 1 clove(s) of garlic , 1 carrot , 4 tablespoon(s) olive oil , 1 tablespoon(s) tomato paste , 50 g white wine , 400 g canned tomatoes , 1 vegetable bouillon cube , 400 g water , 1 level tablespoon(s) granulated sugar , salt , pepper , 1/2 bunch dill , 1/2 bunch parsley , 1/2 bunch mint , 500 g okra, frozen  , 1 tablespoon(s) olive oil , 100 g feta cheese , 50 g olives , oregano , bread , pepper ",Stews
3-Ingredient pancakes,"Beat the bananas in a blender along with the oats and the almond milk, until there is a uniform sticky batter. ,Heat the butter in a ,frying pan, over medium heat. Take 2 tablespoons of the batter and pour them into an ,8 cm round cookie cutter, in the pan.,Cook for 3 minutes until the batter is golden. Flip with a spatula and cook for 2-3 more minutes. ,Follow the same process for the remaining mixture until there are 8 pancakes.,Serve the pancakes with maple syrup, strawberries, and blueberries.  "," 2 bananas, ripe , 120 g oats , 150 g almond milk , 3 tablespoon(s) butter, for the frying , 100 g maple syrup , 100 g strawberries , 50 g blueberries ",Sweets / Desserts
Greek green bean and olive oil stew ,"Place a ,pot, over high heat and add 2 tablespoons olive oil.,Coarsely ,chop, the onion and add to the pot.,Mince the garlic and add it to the pot along with the sugar. Sauté until the onion softens.,Peel the potatoes, cut them into pieces and add them to the pot.,Add the tomato paste and wine. Mix until the alcohol evaporates.,Add the lemon zest, chopped tomatoes, water and bouillon cube.,Chop the edges off of the green beans, add them to the pot and mix.,Cover pot with lid, lower heat to medium-low and simmer for 40-50 minutes.,Remove pot from heat and add the mint, parsley, the green part of the spring onions finely chopped, salt, pepper and 80 g of olive oil. Mix and ,serve,.,Serve with feta cheese drizzled with olive oil and sprinkled with oregano along with slices of bread."," 1 onion , 100 g olive oil , 1 clove(s) of garlic , 1 teaspoon(s) granulated sugar , 500 g potatoes , 1 heaping tablespoon(s) tomato paste , 50 g white wine , lemon zest, of 1 lemon  , 400 g canned tomatoes , 300 g water , 1 vegetable bouillon cube , 1 kilo green beans, fresh or forzen  , 1/3 bunch mint , 2 spring onions , 1/3 bunch parsley , salt , pepper , 200 g feta cheese, optional  , 1 tablespoon(s) oregano, dry  , 2 tablespoon(s) olive oil , 3-4 slices bread ",Stews
Greek honey donuts – Loukoumades ,"In a mixer’s bowl add the water, the sugar, the yeast, and mix with a hand whisk to dissolve the yeast.,Add the cinnamon, the seed oil, salt, the honey, and whisk.,Add the flour and beat with the paddle attachment at high speed, for 3-4 minutes, until the ingredients are homogenized.,Transfer the dough into a bowl, cover with plastic wrap, and allow about 1 hour for it to double in volume.,Place a deep ,frying pan, with 400ml seed oil over medium-high heat. Ideally, you need the oil to reach 170,ο, ,C (340,ο, F). Put the remaining seed oil in a mug with a spoon.,Take a little of the dough with your hands and squeeze it in your palm. The mixture that will come out between your thumb and index finger, take it with a spoon. This way, you will help the dough slip into the oil. ,Fry in batches for 4-5 minutes, until they are nicely golden and cooked through. Remove and place on paper towels.,Serve with honey and cinnamon."," 460 g water , 1 pinch granulated sugar , 5 g yeast , 1/2 teaspoon(s) cinnamon , 2 tablespoon(s) seed oil , 1 pinch salt , 1 teaspoon(s) honey , 500 g all-purpose flour , 400 ml seed oil, for the frying , honey , cinnamon ",Sweets / Desserts
Greek roasted vegetable medley ,"Preheat oven to 180* C (350* F) Fan.,Place a ,nonstick pan, over high heat and let it get very hot.,Prepare all of the vegetables. ,Chop, the eggplant in to 2 cm cubes, the zucchini in to 3-5 mm rounds, the onion thinly sliced, the bell peppers in to 5 mm slices and the carrots in to 1 cm slices or rounds. Place them all in a large bowl.,Add the garlic, herbs, salt, pepper and toss.,Add the vegetables to the hot pan in 4-5 batches and sauté each batch for 2-3 minutes while stirring. If you add them all at once they will boil instead of sauté nicely.,When each batch is ready, transfer to a ,baking pan, or ovenproof baking dish.,When you add all of the sautéed vegetables to the pan, add the lemon zest and lemon juice, tomatoes and honey. Toss.,Bake for 40-45 minutes, until the vegetables soften.,When the dish is almost ready, prepare the glaze by whisking the yogurt, parmesan, lemon zest, lemon juice, egg and pepper together in a bowl.,Pour over vegetables, turn oven on to broiler or grill and cook for another 5-10 minutes, until golden."," 1 eggplant , 2 carrots , 1 potato , 1 zucchini, large  , 1 yellow bell pepper , 1 red bell pepper , 1 green bell pepper , 1 onion , 2-3 clove(s) of garlic , 4-5 tablespoon(s) olive oil , rosemary , oregano , thyme , salt , pepper , lemon juice, of 1 lemon , lemon zest, of 1 lemon , 2 tomatoes , 2 tablespoon(s) honey , 250 g strained yogurt , 1 egg , parmesan cheese, some  , lemon zest, of 1 lemon  , lemon juice, of 1/2 lemon , thyme , oregano ",Stews
Greek stuffed vegetables with rice and ground meat ,"Remove the stems from the tomatoes and cut the top part to make a kind of “lid”. Carefully remove the flesh from the tomatoes, using a teaspoon.,Transfer to a ,36x28 cm baking pan,. ,Cut the tops of the green peppers in the same manner and remove the seeds and ribs. Slice off a little of the base so they can be positioned upright, but make sure not to create a hole at the bottom. Add them to the baking pan along with the potatoes.,Preheat oven to 180* C (350* F) Fan.,Place a ,deep pan, over heat, let it get hot and add the olive oil.,Finely chop the onion, garlic, leek and the edges from the green peppers.,Add to the pan along with the granulated sugar and sauté.,Add the rice, bouillon cube, white wine and ground beef.,Mix with a wooden spoon and break up the ground beef.,Add the water, lower heat and season with salt and pepper.,Squeeze the tomato flesh your removed, with your hands and transfer to pan. Sauté for 10-15 minutes, until all the moisture evaporates.,When the filling is ready, remove from heat.,Finely chop the dill, parsley and mint. Keep some of the herbs aside and add the rest to the filling.,Taste the filling and make sure it is to your liking. Season to taste and add the olive oil.,To fill the vegetables, begin by drizzling the interior with some olive oil and then seasoning with salt and pepper.,Fill the vegetables to the rim, cover with their “lids” and set aside.,Place a ,pan, over heat and let it get hot.,Peel the potatoes and cut them into wedges.,Add the olive oil, pepper, salt and butter. Saute until golden. When ready, distribute in the baking pan among the stuffed vegetables.,Add the water, cover with parchment paper and then aluminum foil.,Bake for 1 hour, remove coverings and bake again for 20-30 minutes, until nice and golden.,On a ,serving plate,, add the stuffed vegetables, potatoes, fresh herbs and mint leaves.,Serve with feta cheese, dry oregano, olive oil and bread."," 6 tomatoes , 2 red bell peppers , 2 yellow bell peppers , 2 green bell peppers , 1 onion , 1 clove(s) of garlic , 1 leek , 60 g olive oil , 1 tablespoon(s) granulated sugar , 300 g glutinous rice , 1 chicken bouillon cube , 50 g white wine , 500 g ground beef , 400 g water , salt , pepper , 1/3 bunch dill , 1/2 bunch parsley , 1/2 bunch mint , 500 g potatoes , 2 tablespoon(s) olive oil , salt , pepper , 1 tablespoon(s) butter , 200 g water , herbs, fresh  , mint , feta cheese , oregano, dry  , 1 tablespoon(s) olive oil , bread ",Stews
Cinnamon rolls with caramel sauce,"In a mixer’s bowl, add the milk and yeast and mix with a hand whisk until the yeast is completely dissolved.,Add the sugar, 80g of the butter, eggs, salt and flour.,Beat with the hook attachment for about 5 minutes on medium speed, until a dough forms and starts to pull away from the sides of the bowl.,Transfer dough to a buttered bowl, cover with plastic wrap and allow it to rest and rise for at least 30 minutes, until it doubles in size.,When ready, dust a clean and level working surface with some flour and roll out dough.,Try to give it a rectangular shape that is about 50x80 cm in size and ½ cm thick.,Prepare the filling.,In a mixer’s bowl, add the butter, dark brown sugar and cinnamon.,Beat on medium speed with the whisk attachment, until all of the ingredients are completely combined.,Place on the center of the dough.,Spread the filling with the back of a spoon on to the whole surface of the dough, leaving a small border all the way around.,Start rolling the dough from the wider side, creating a large log.,Cut the log into 12 equal sized pieces with a sharp ,knife,.,Transfer to a 28x36 cm ,baking pan, lined with parchment paper, placing them one next to the other.,Cover with a towel and allow to rise again for 30 minutes.,Preheat oven to 180* C (350* F) Fan.,When they have risen, brush the tops of the rolls with the remaining 20 g of the melted butter and bake for 30 minutes.,When ready, remove from oven and allow to cool a little.,Pour warm ,caramel sauce, over them and serve."," 250 g milk, at room temperature    , 9 g yeast , 120 g granulated sugar , 100 g butter, melted , 2 eggs, medium, at room temperature    , 1 teaspoon(s) salt , 700 g hard flour, + extra to roll out dough , butter, for the bowl , 100 g butter, at room temperature    , 150 g dark brown soft sugar , 20 g cinnamon ,   ,caramel sauce, ",Sweets / Desserts
Greek spinach and rice – Spanakorizo ,"Place a ,pot, over high heat and add 2 tablespoons olive oil.,Coarsely ,chop, the onion, finely chop the garlic, and add them to the pot. Season with salt and pepper, and sauté.,Finely chop the white part of the spring onions, the stems of the dill, and add them to the pot.,Add the rice and sauté for 1-2 minutes.,Deglaze the pot with the wine and let it evaporate. Add the stock in batches and mix constantly, at medium heat, for 13-15 minutes until the rice is boiled and al dente.,Put the spinach into a bowl and add some salt. Mix and squeeze well with your hands in order to remove the water from the spinach. Transfer to the pot and boil for 3-4 minutes.,If there is no moisture left in your pot, add 100 g water, the juice of 2 lemons, and remove from the heat.,Finely chop the rest of the dill, the green part of the spring onions, and add them to the pot. Add the lemon zest, the rest of the olive oil, and mix.,Serve with lemon slices, olive oil, pepper, oregano, and feta cheese."," 1 onion , 1 clove(s) of garlic , 70 g olive oil , salt , pepper , 2 spring onions , 1/2 bunch dill , 250 g glutinous rice , 150 g white wine , 1 liter vegetable stock , 1 kilo spinach , lemon zest, of 2 lemons   , lemon juice, of 2 lemons  , 1 lemon , feta cheese, optional , olive oil , pepper , oregano ",Stews
Quick ladyfinger cake ,"In a mixer’s bowl add the cream cheese, the heavy cream, the vanilla extract, the icing sugar, the lemon zest, and beat with the whisk attachment at high speed, for 2-3 minutes, until the mixture thickens.,Line a ,20 cm baking pan ,with plastic wrap.,Spread ¼ of the cream on the bottom and cover with 1/3 of the ladyfingers. ,Follow the same process for the remaining ingredients, cover with plastic wrap, and refrigerate. Allow 6-8 hours for the cake to chill and set well.,Take the cake out of the pan and serve with melted chocolate, sour cherry spoon sweet, mint, and cocoa powder."," 500 g cream cheese , 500 g heavy cream 35%, chilled , 1 teaspoon(s) ,vanilla extract, , 50 g icing sugar , lemon zest, of 1 lemon , 250 g ,ladyfingers, , 100 g chocolate couverture, melted , sour cherry spoon sweet , mint , cocoa powder ",Sweets / Desserts
Stuffed tomatoes,"Wash the tomatoes and with a sharp knife, cut a lid from the bottom side, not from the stem. It’s better to cut this side as it can hold more stuffing.,With a spoon, carefully scoop out the flesh of the tomatoes. Try not to pierce the skin as the stuffing will fall out during baking.,Put the flesh of the tomatoes into a ,bowl, and finely chop the pieces that may be bigger. ,Put the tomatoes in the ,baking, ,pan,, stem side down.,Season the tomatoes with salt and pepper and drizzle them with half of the olive oil. ,Preheat the oven to 180,ο, C (350,ο, F) set to fan. ,Finely chop the onion.,Heat the remaining olive oil in a ,pot, over medium heat. ,Sauté the onion for 2-3 minutes until it softens. ,Add and sauté the rice for 1 more minute.,Add the tomato flesh so to deglaze the pot.,Stir with a serving spoon and add the water, the garlic, salt, and pepper. ,Simmer for 5 minutes until the rice softens and absorbs the water.,Remove the pot from the heat and add the mint.,Mix the stuffing with a spoon and divide it among the tomatoes.,If you have any leftover stuffing, do not discard it, pour it also into the pan.,Cover the baking pan with aluminum foil. ,Bake in the oven for 1 hour until the tomatoes are tender. ,Remove the aluminum foil and bake for 15 more minutes until the stuffed tomatoes are nicely golden.,Remove the baking pan from the oven and serve with feta cheese, bread slices, and sprinkle with mint leaves."," 4 tomatoes , salt , pepper , 4 tablespoon(s) olive oil , 1 onion , 100 g glutinous rice , 350 g water , 1 teaspoon(s) garlic, powder , 2 tablespoon(s) mint, finely chopped , 100 g feta cheese , slices bread , mint leaves ",Stews
name,method,ingredients,category
Stuffed tomatoes,"Wash the tomatoes and with a sharp knife, cut a lid from the bottom side, not from the stem. It’s better to cut this side as it can hold more stuffing.,With a spoon, carefully scoop out the flesh of the tomatoes. Try not to pierce the skin as the stuffing will fall out during baking.,Put the flesh of the tomatoes into a ,bowl, and finely chop the pieces that may be bigger. ,Put the tomatoes in the ,baking, ,pan,, stem side down.,Season the tomatoes with salt and pepper and drizzle them with half of the olive oil. ,Preheat the oven to 180,ο, C (350,ο, F) set to fan. ,Finely chop the onion.,Heat the remaining olive oil in a ,pot, over medium heat. ,Sauté the onion for 2-3 minutes until it softens. ,Add and sauté the rice for 1 more minute.,Add the tomato flesh so to deglaze the pot.,Stir with a serving spoon and add the water, the garlic, salt, and pepper. ,Simmer for 5 minutes until the rice softens and absorbs the water.,Remove the pot from the heat and add the mint.,Mix the stuffing with a spoon and divide it among the tomatoes.,If you have any leftover stuffing, do not discard it, pour it also into the pan.,Cover the baking pan with aluminum foil. ,Bake in the oven for 1 hour until the tomatoes are tender. ,Remove the aluminum foil and bake for 15 more minutes until the stuffed tomatoes are nicely golden.,Remove the baking pan from the oven and serve with feta cheese, bread slices, and sprinkle with mint leaves."," 4 tomatoes , salt , pepper , 4 tablespoon(s) olive oil , 1 onion , 100 g glutinous rice , 350 g water , 1 teaspoon(s) garlic, powder , 2 tablespoon(s) mint, finely chopped , 100 g feta cheese , slices bread , mint leaves ",Stews
White chocolate tart,"Place a ,pot, over medium heat and add the butter. Let it melt but not burn. ,In a blender, add the cookies and crumble them. Put them into a bowl and add the cocoa powder, the melted butter, and mix well until homogenized.,Transfer to a ,20 cm springform pan, and press the crust well with a spoon. ,Refrigerate until chilled. ,Place a pot over low heat, add the heavy cream, and let it come to a boil.,In a bowl, add the chocolate into pieces and pour the hot heavy cream over it. Wait until the chocolate softens and then stir well. Add the liqueur and stir again. ,Transfer the mixture over the tart crust. Create patterns with the melted chocolate and refrigerate for 4-6 hours until set. ,Serve with melted chocolate and mint. "," 80 g butter , 150 g digestive cookies , 1 heaping tablespoon(s) cocoa powder , 300 g heavy cream 35% , 540 white chocolate couverture , 40 g ,coffee liqueur, , 50 g chocolate couverture, melted , chocolate couverture, melted , mint ",Pies and Tarts
Curried sweet potato soup,"Peel the sweet potatoes, cut them into 2 cm cubes, and add them into a ,bowl,.,Cut the onions, the garlic, the chili pepper, and the sundried tomatoes into slices.,In a ,pot, add the olive oil and place it over medium heat.,Add the onions and sauté them for 2-3 minutes.,Add the garlic, the pepper, and keep sautéing for 1-2 more minutes.,Add the turmeric, the curry, the sweet potatoes, the thyme, and mix with a wooden spoon.,Add the water, the vegetable stock cube, salt, pepper, and boil for 30 minutes until the sweet potatoes are tender.,Add the coconut milk and boil for 5-10 more minutes.,Remove from the heat, sprinkle with finely chopped fresh coriander and serve with couscous."," 1 kilo sweet potatoes , 2 onions , 1 clove(s) of garlic , 1 chili pepper , 80 g sun-dried tomato , 1 tablespoon(s) olive oil , 1 tablespoon(s) turmeric , 1 tablespoon(s) curry , 1 tablespoon(s) thyme, finely chopped , 1 liter water , 1 vegetable bouillon cube , salt , pepper , 300 g coconut milk , 1/2 bunch coriander, finely chopped , couscous, boiled ",Soups
Pea soup with parmesan biscuits,"In a ,pot, over medium heat, add the olive oil, the butter, and heat them.,Clean and cut the spring onions into rounds.,Peel and cut the potato into 2 cm cubes.,Add the spring onions and the potato into the pot, and sauté. You don’t want them to turn golden, just to be sautéed. ,Add the stock and simmer for 15 minutes, until the potatoes are tender.,Add the peas and boil them for 4 minutes or until the peas are cooked. ,Remove the pot from the heat, add the mint leaves, and homogenize the soup with an immersion blender until it has a velvety texture. ,Check the seasoning and, if needed, add salt and pepper.,Preheat the oven to 180°C (350° F) set to fan.,Line the bottom of a ,baking pan, with parchment paper and shape 6 circles with the grated parmesan, 6-7 cm in diameter. ,Bake the parmesan for 3 minutes or until it melts and turns slightly golden.,Remove the baking pan from the oven, allow 5 minutes for the biscuits to cool, and then remove them from the pan with a spatula.,Divide the soup among 6 bowls and serve it hot with finely chopped spring onion, mint leaves, and the parmesan biscuits."," 1 tablespoon(s) olive oil , 1 tablespoon(s) butter , 5 spring onions, + extra to serve , 1 potato, medium , 1 liter vegetable stock , 900 g peas , 1/4 bunch mint, only the leaves + extra to serve , salt, optional , pepper, optional , 100 g parmesan cheese, grated ",Soups
Soup with egg-lemon sauce,"In a ,pot,, heat the soup for 10 minutes over medium heat.,Optionally, if you want your soup to have rice, as soon as it comes to a boil, add the rice and boil for 15 minutes until the rice is cooked.,In a ,bowl, add the lemon zest and juice, the eggs, salt, pepper, the olive oil, and whisk well.,Slowly add 2-3 ladlefuls of the soup, whisking constantly.,Transfer the mixture from the bowl back to the pot and heat for 3-4 minutes over low heat, until it starts bubbling.,Stir and remove from the heat.,Serve the soup with freshly ground pepper, lemon slices, and rusks."," 1 1/2 liter soup, leftover, beef or chicken soup , 100 g glutinous rice, optionally , lemon zest, of 2 lemons , lemon juice, of 2 lemons , 2 eggs, medium , salt , pepper , 3 tablespoon(s) olive oil , pepper , slices lemon , rusks ",Soups
Soup with homemade trahana - Trahanοsoupa,"Add all of the ingredients into a large bowl and start kneading them with your hands, by adding the flour little by little. Your goal is to have a dough that does not stick to your hands. ,Lay a clean sheet on a large surface (e.g. your kitchen counter or table), cut the dough into pieces -the size of a hazelnut- and put them on the sheet. ,Cover the trahana with a piece of tulle and sun-dry it for 2-3 days.,In order to ensure that it has been dried, 2-3 days later, bake the trahana in the oven, at 50°C (120 °F) set to fan, for about 2 hours. ,Break it up into chunks, using a food processor, and transfer the trahana to cotton bags (or pillowcases) where you store it in a cool, dry place for about 1 year. ,In a ,pot, add the water, the trahana, the salt, the olive oil, and simmer for about 10 minutes until the soup thickens. You should stir constantly since trahana can easily stick to the bottom of the pot. ,In a ,frying pan,, add the olive oil and sauté the bacon, cut into strips, for 2-3 minutes. ,Serve the trahana with the bacon, sprinkle with fresh thyme, chili flakes, and toasted bread. "," 1 kilo strained yogurt , 500 g semolina, fine , 500 g all-purpose flour , 1 teaspoon(s) salt , 1 teaspoon(s) pepper , 1 liter water, at room temperature , 200-250 g sour trahana pasta , 1 teaspoon(s) salt , 50 g olive oil , 50 g olive oil , 8 slices bacon, cut into strips , chili flakes , thyme, fresh , bread, toasted ",Soups
No-rice chicken soup,"Finely chop the onion, the garlic, and the carrot. Cut the potato into small cubes to boil more quickly.,Heat the olive oil in a ,pot, over medium heat. ,Sauté the vegetables for 2 minutes until they are slightly tender. ,Add the thyme, the water, the chicken bouillon cube, salt, pepper, and boil for 15 minutes. ,Finely chop the chicken and add it to the pot. ,Boil for 5 more minutes and remove the pot from the heat.,Check the seasoning, sprinkle with finely chopped thyme, and serve with rusks."," 1 onion , 1 clove(s) of garlic , 1 carrot , 1 potato , 1 tablespoon(s) olive oil , 1 tablespoon(s) thyme, fresh, only the leaves , 1 liter water , 1 chicken bouillon cube , salt , pepper , 200 g chicken, cooked , thyme, finely chopped , 2 rusks ",Soups
Greek fisherman’s soup – Kakavia,"Place a pot over high heat and add the olive oil.,Cut the onion into large pieces, the celery into small pieces, and add them to the pot.,Cut the carrots into half-moons, the potato into small pieces, the celery root into small cubes, and add them to the pot.,Add the grated tomatoes, the water, the bay leaves, the saffron, the scorpionfish, salt, pepper, and cover with the lid. Simmer for 30 minutes at low heat.,Carefully remove the fish and the bay leaves, and beat with an immersion blender until your soup is pureed. Ideally, pass the soup through a sieve to avoid any bones that may be left in your soup.,Return the pot on heat and add the mussels. Simmer for 3-4 minutes until the mussels open.,Add the lemon juice, salt, pepper, and serve with thyme, olive oil, and pepper."," 1 onion , 2-3 olive oil , 1-2 stick(s) celery , 2 carrots , 1 potato , 1/2 celery root , 700 g tomatoes , 2 liters water , 2 bay leaves , 1/4 teaspoon(s) saffron , 1 kilo scorpion fish , salt , pepper , 300 g mussels , lemon juice, of 1 lemon , thyme , olive oil , pepper ",Soups
Vegan red lentil soup,"Rinse the lentils and add them to a ,pot, along with the ginger, the chili, the turmeric, the 500 g water, and the salt.,Boil the mixture over medium heat for 30 minutes, until the lentils soften well.,Remove the ginger and the chili from the pot, and puree the mixture with an immersion blender. Set aside until needed.,At the same time, prepare the flavored oil. ,In a frying pan add the olive oil, the cumin, the chili flakes, the garlic, and sauté them for 1 minute.,Add half of the mixture into the lentils along with the coriander and plenty of hot water, stirring well until you get the desired consistency.,Simmer for 2 minutes.,Serve with the rest of the flavored oil and finely chopped coriander. "," 200 g red lentils , 10 g ginger, peeled , 1 chili pepper, seeded , 1 teaspoon(s) turmeric, ground , 500 g water, + extra hot water, for the soup  , 1 teaspoon(s) salt , 4 tablespoon(s) olive oil , 1 teaspoon(s) cumin, seeds , 1/2 teaspoon(s) chili flakes , 2 clove(s) of garlic, finely chopped , 1/2 bunch coriander, finely chopped + extra to serve ",Soups
Cornbread,"Preheat the oven 180°C (350° F) set to fan. ,Line the bottom and the sides of a 20x25 cm ,baking pan, with parchment paper and grease it lightly with a pastry brush. Set it aside until needed.,In a mixer’s bowl, beat the butter and the sugar with the whisk attachment at medium speed, for 2-4 minutes, until fluffy ,Lower the speed and add the eggs one by one, waiting for each one to be incorporated before adding the next. ,Finely chop the chili peppers and add them into a ,bowl,. ,Add the thyme, the cheddar, the all-purpose flour, the maize flour, the baking powder, the salt, and the corn into the bowl. ,Mix the ingredients with a spoon, add them into the bowl’s mixer -in two batches- and beat with the whisk attachment at medium speed. Attention! Do not overbeat the mixture as it will harden.,Add the dough into the pan and bake in the oven for 30-35 minutes. ,Remove the baking pan from the oven and let the cornbread cool on a rack.,Cut the cornbread into pieces and serve, sprinkling with a few thyme leaves. "," 1 teaspoon(s) olive oil, to grease the parchment paper , 250 g butter, at room temperature , 200 g granulated sugar , 4 eggs, large , 2 chili peppers , 2 tablespoon(s) thyme , 200 g cheddar , 200 g all-purpose flour , 120 g maize flour , 2 tablespoon(s) baking powder , 1/2 teaspoon(s) salt , 150 g corn, canned, drained , thyme leaves ",Breads and Pastries
